source_file,start_time,location_context,duration_hours,distance_miles,ascent_ft,avg_power_w,normalized_power_w,avg_heart_rate_bpm,max_heart_rate_bpm,avg_cadence_rpm,time_long_endurance_power_min,time_medium_endurance_power_min,time_threshold_flats_power_min,time_threshold_climbing_power_min,time_threshold_flats_hr_min,time_threshold_climbing_hr_min,climb_minutes_ge_3pct,climb_avg_grade_pct,climb_avg_power_w,climb_avg_heart_rate_bpm,climb_avg_cadence_rpm,climb_time_cadence_85_95_min,climb_time_cadence_lt_75_min,climb_cadence_85_95_pct
2026-03-23-13-22-21.fit,2026-03-23T19:22:21,park_city_region,1.587511388888889,15.063493261849999,1167.97904,148.0,205.0,,,64.0,7.05,7.416666666666667,4.733333333333333,4.7,0.0,0.0,22.45,5.131805676106247,263.4127691165553,,74.3652561247216,3.65,9.833333333333334,0.16258351893095768
2026-03-23-16-11-02.fit,2026-03-23T22:11:02,park_city_region,0.7620180555555556,2.5677783752399996,232.93964,26.0,80.0,,,48.0,2.2333333333333334,0.7333333333333333,0.11666666666666667,0.1,0.0,0.0,0.0,,,,,0.0,0.0,
2026-03-24-14-07-55.fit,2026-03-24T20:07:55,park_city_region,2.6021030555555553,22.81665612806,2034.1208,,,156.0,178.0,,0.0,0.0,0.0,0.0,54.05,53.75,15.666666666666666,5.298403887636464,,152.65106382978723,,0.0,0.0,0.0
2026-03-26-07-20-57.fit,2026-03-26T13:20:57,park_city_region,0.6753394444444445,5.73685746718,649.60632,158.0,193.0,152.0,175.0,62.0,3.316666666666667,3.316666666666667,2.216666666666667,2.2,10.483333333333333,10.716666666666667,3.816666666666667,5.355202478390418,228.00436681222706,152.64628820960698,68.08296943231441,0.3333333333333333,2.6,0.08733624454148471
2026-03-26-08-11-14.fit,2026-03-26T14:11:14,park_city_region,0.13337277777777778,1.55447761699,68.89764,145.0,202.0,137.0,158.0,72.0,1.0,0.8833333333333333,0.55,0.5,2.283333333333333,1.1,1.9833333333333334,4.386724751067862,257.0,153.21008403361344,79.30252100840336,0.21666666666666667,0.25,0.1092436974789916
2026-03-26-13-38-21.fit,2026-03-26T19:38:21,park_city_region,1.9926591666666666,15.032865885260001,1397.63784,120.0,186.0,146.0,175.0,64.0,7.6,7.75,4.2,4.1,21.966666666666665,24.366666666666667,21.866666666666667,5.403908265466538,237.78658536585365,156.00685975609755,72.26239511823036,2.216666666666667,12.05,0.1013719512195122
2026-03-28-13-40-39.fit,2026-03-28T19:40:39,park_city_region,1.0753986111111111,9.21368297429,879.26512,143.0,189.0,158.0,176.0,78.0,7.933333333333334,5.483333333333333,3.3,3.35,12.65,13.716666666666667,8.333333333333334,5.240210425697281,225.31,156.934,87.034,2.7333333333333334,1.3333333333333333,0.32799999999999996
2026-03-28-15-48-35.fit,2026-03-28T21:48:35,park_city_region,0.4036427777777778,1.66944989312,206.69292,71.0,141.0,,,60.0,1.9666666666666666,1.2,0.65,0.45,0.0,0.0,0.2,5.340721389858753,41.333333333333336,,30.833333333333332,0.0,0.18333333333333332,0.0
2026-03-28-17-47-51.fit,2026-03-28T23:47:51,park_city_region,1.041411111111111,9.64537426283,1515.74808,171.0,223.0,156.0,177.0,78.0,7.333333333333333,7.816666666666666,5.2,4.633333333333334,11.966666666666667,13.533333333333333,8.45,5.214307804474835,217.53648915187378,152.65680473372782,76.76530612244898,2.7333333333333334,2.0166666666666666,0.32347140039447736
